opes_id	ser_vol	editor	year	pg_no	photo	sb	corrections	preferred_citation	ddbdp_pmichcitation	ddbdp_omichcitation	ddbdp_p_rep	ddbdp_o_rep
1	P.Oslo I	Eitrem S-Amundsen L	1931	47	Pl. V		Wilcken U, APF 10 (1932) p. 86 (l. 15)Schmidt KFW, Göttingische gelehrte Anzeigen 194 (1932) p. 283 (l. 5, 14)Ziegler R, ZPE 106 (1995) p. 194 (date)	Eitrem S-Amundsen L, P.Oslo I, 47, 1931, Pl. V -- Wilcken U, APF 10 (1932) p. 86 (l. 15)Schmidt KFW, Göttingische gelehrte Anzeigen 194 (1932) p. 283 (l. 5, 14)Ziegler R, ZPE 106 (1995) p. 194 (date)	p.oslo;2;47			"
2	P.Oslo II	Eitrem S-Amundsen L	1931	48			Wilckens U, APF 10 (1932) p. 86 (l. 14)Schmidt KFW, Göttingische gelehrte Anzeigen 194 (1932) p. 283 (l.5f., 14)	Eitrem S-Amundsen L, P.Oslo II, 48, 1931 -- Wilckens U, APF 10 (1932) p. 86 (l. 14)Schmidt KFW, Göttingische gelehrte Anzeigen 194 (1932) p. 283 (l.5f., 14)	p.oslo;2;48			"
3	P.Oslo II	Eitrem S-Amundsen L	1931	50			Schmidt KFW, Göttingische gelehrte Anzeigen 194 (1932) p. 284 (l.4f., 7f., 9f.)	Eitrem S-Amundsen L, P.Oslo II, 50, 1931 -- Schmidt KFW, Göttingische gelehrte Anzeigen 194 (1932) p. 284 (l.4f., 7f., 9f.)	p.oslo;2;50			"
4	SO 44	Eliassen M H de Kat	1969	152-157		SB X 10724		Eliassen M H de Kat, SO 44, 152-157, 1969 -- SB X 10724	SB:10:724			"
5	SO 44	Eliassen M H de Kat	1969	157-159		SB X 10725		Eliassen M H de Kat, SO 44, 157-159, 1969 -- SB X 10725	SB:10:725			"
6	SO 53	Eliassen M H de Kat	1978	104-105		SB XIV 12024		Eliassen M H de Kat, SO 53, 104-105, 1978 -- SB XIV 12024	SB:14:12024			"
7	SO 54	Forselv I L	1979	125-127		SB XVI 12547	Jördens A, SB 18 (1993) p. 483 (l. 7)Kruit N, BL 9 (1995) p. 286 (l. 7 ad Jördens)	Forselv I L, SO 54, 125-127, 1979 -- SB XVI 12547 -- Jördens A, SB 18 (1993) p. 483 (l. 7)Kruit N, BL 9 (1995) p. 286 (l. 7 ad Jördens)	SB:16:12547			"
8	SO 50	Eliassen M H de Kat	1975	81-83		SB XIV 11437	Hagedorn D, ZPE 68 (1987) p. 81 (l. 4, 9f., 13-14, 24)	Eliassen M H de Kat, SO 50, 81-83, 1975 -- SB XIV 11437 -- Hagedorn D, ZPE 68 (1987) p. 81 (l. 4, 9f., 13-14, 24)	SB:14:11437			"
9	SO 56	Eliassen M H de Kat	1981	103-104		SB XVI 12550	Daniel RW, ZPE 54 (1984) p. 85-86 (l. 8,10,13)van Minnen P, ? (l. 10)	Eliassen M H de Kat, SO 56, 103-104, 1981 -- SB XVI 12550 -- Daniel RW, ZPE 54 (1984) p. 85-86 (l. 8,10,13)van Minnen P, ? (l. 10)	SB:14:11437			"
10	Aegyptus 31	Eitrem S-Amundsen L	1951	177-179		SB VI 9120		Eitrem S-Amundsen L, Aegyptus 31, 177-179, 1951 -- SB VI 9120	SB:6:9120			"
11	Aegyptus 31	Eitrem S-Amundsen L	1951	170-181		SB VI 9121		Eitrem S-Amundsen L, Aegyptus 31, 170-181, 1951 -- SB VI 9121	SB:6:9121			"
12	Aegyptus 31	Eitrem S-Amundsen L	1951	181-183		SB VI 9122		Eitrem S-Amundsen L, Aegyptus 31, 181-183, 1951 -- SB VI 9122	SB:6:9122			"
13	P.Oslo II	Eitrem S-Amundsen L	1931	56			Schmidt KFW, Göttingische gelehrte Anzeigen 194 (1932) p. 285 (l. 4)	Eitrem S-Amundsen L, P.Oslo II, 56, 1931 -- Schmidt KFW, Göttingische gelehrte Anzeigen 194 (1932) p. 285 (l. 4)	p.oslo;2;56			"
14	P.Oslo II	Eitrem S-Amundsen L	1931	51			Schmidt KFW, Göttingische gelehrte Anzeigen 194 (1932) p. 284 (l. 4)Wilcken U, APF 10 (1932) p. 86 (l. 9f.)	Eitrem S-Amundsen L, P.Oslo II, 51, 1931 -- Schmidt KFW, Göttingische gelehrte Anzeigen 194 (1932) p. 284 (l. 4)Wilcken U, APF 10 (1932) p. 86 (l. 9f.)	p.oslo;2;51			"
15	P.Oslo II	Eitrem S-Amundsen L	1931	59			Preisendanz K, Philologische Wochenschrift 52 (1932) p. 231 (l. 5, 6, 10)Schmidt KFW, Göttingische gelehrte Anzeigen 194 (1932) p. 285-286 (l. 4, 5, 6, 10f., verso)Eitrem S- Amundsen L, P.Oslo III (1936) p. 276 (l.13)	Eitrem S-Amundsen L, P.Oslo II, 59, 1931 -- Preisendanz K, Philologische Wochenschrift 52 (1932) p. 231 (l. 5, 6, 10)Schmidt KFW, Göttingische gelehrte Anzeigen 194 (1932) p. 285-286 (l. 4, 5, 6, 10f., verso)Eitrem S- Amundsen L, P.Oslo III (1936) p. 276 (l.13)	p.oslo;2;59			"
16	P.Oslo II	Eitrem S-Amundsen L	1931	60				Eitrem S-Amundsen L, P.Oslo II, 60, 1931	p.oslo;2;60			"
17	P.Oslo II	Eitrem S-Amundsen L	1931	55				Eitrem S-Amundsen L, P.Oslo II, 55, 1931	p.oslo;2;55			"
18	P.Oslo II	Eitrem S-Amundsen L	1931	54				Eitrem S-Amundsen L, P.Oslo II, 54, 1931	p.oslo;2;54			"
19	P.Oslo III	Eitrem S-Amundsen L	1936	152			Eitrem S-Amundsen L, P.Oslo III, p. 279 (l. 4)Schmidt KFW, Philologische Wochenschrift 58 (1938) p. 303 (l. 5)	Eitrem S-Amundsen L, P.Oslo III, 152, 1936 -- Eitrem S-Amundsen L, P.Oslo III, p. 279 (l. 4)Schmidt KFW, Philologische Wochenschrift 58 (1938) p. 303 (l. 5)	p.oslo;3;152			"
20	SO 10	Amundsen L	1932	16-30				Amundsen L, SO 10, 16-30, 1932				"
21	P.Oslo III	Eitrem S-Amundsen-L	1936	148				Eitrem S-Amundsen-L, P.Oslo III, 148, 1936	p.oslo;3;148			"
22	P.Oslo III	Eitrem S-Amundsen-L	1936	149			Geraci G, Aegyptus 70 (1990) p. 106, n.38 (date)	Eitrem S-Amundsen-L, P.Oslo III, 149, 1936 -- Geraci G, Aegyptus 70 (1990) p. 106, n.38 (date)	p.oslo;3;149			"
23	P.Oslo II	Eitrem S-Amundsen L	1931	49			Preisendanz K, Philologische Wochenschrift 52 (1932) p. 232 (l. 7f.)Eitrem S-Amundsen L, P.Oslo III (1936) p. 276 (date)	Eitrem S-Amundsen L, P.Oslo II, 49, 1931 -- Preisendanz K, Philologische Wochenschrift 52 (1932) p. 232 (l. 7f.)Eitrem S-Amundsen L, P.Oslo III (1936) p. 276 (date)	p.oslo;2;49			"
24	P.Oslo II	Eitrem S-Amundsen L	1931	52			Schmidt, KFW, Göttingische gelehrte Anzeigen 194 (1932) p. 284 (l. 15, 17f.)Hagedorn D, ZPE 12 (1973) p. 280, n.13 (l. v 2)	Eitrem S-Amundsen L, P.Oslo II, 52, 1931 -- Schmidt, KFW, Göttingische gelehrte Anzeigen 194 (1932) p. 284 (l. 15, 17f.)Hagedorn D, ZPE 12 (1973) p. 280, n.13 (l. v 2)	p.oslo;2;52			"
25	P.Oslo II	Eiterem S-Amundsen L	1931	53			Olsson B, Indogermanische Forschungen 52 (1933) p. 155 (l. 6, 9)Preisendanz K, Philologische Wochenschrift 52 (1932) p. 231 (l. 10) Youtie HC, CP27 (1932) p. 91 (l.5/6)Amundsen L, P.Oslo III (1936) p. 276 (l. 6, 9, 10)	Eiterem S-Amundsen L, P.Oslo II, 53, 1931 -- Olsson B, Indogermanische Forschungen 52 (1933) p. 155 (l. 6, 9)Preisendanz K, Philologische Wochenschrift 52 (1932) p. 231 (l. 10) Youtie HC, CP27 (1932) p. 91 (l.5/6)Amundsen L, P.Oslo III (1936) p. 276 (l. 6, 9, 10)	p.oslo;2;53			"
26	P.Oslo II	Eitrem S-Amundsen L	1931	61			Preisendanz K, Philologische Wochenschrift 52 (1932) p. 233 (l. 9, 10)Eitrem S-Amundsen L, P.Oslo III (1936) p. 277 (l. 9)	Eitrem S-Amundsen L, P.Oslo II, 61, 1931 -- Preisendanz K, Philologische Wochenschrift 52 (1932) p. 233 (l. 9, 10)Eitrem S-Amundsen L, P.Oslo III (1936) p. 277 (l. 9)	p.oslo;2;61			"
27	P.Oslo II	Eitrem S-Amundsen L	1931	62			Wilcken U, APF 10 (1932) p. 86 (l. 9f.)Youtie HC, CP 27 (1932) p. 91 (l.12)Eitrem S-Amundsen L, P.Oslo III, 1936, p. 277 (Date)	Eitrem S-Amundsen L, P.Oslo II, 62, 1931 -- Wilcken U, APF 10 (1932) p. 86 (l. 9f.)Youtie HC, CP 27 (1932) p. 91 (l.12)Eitrem S-Amundsen L, P.Oslo III, 1936, p. 277 (Date)	p.oslo;2;62			"
28	P.Oslo III	Eitrem S-Amundsen L	1936	156	Pl. XIIa,b			Eitrem S-Amundsen L, P.Oslo III, 156, 1936, Pl. XIIa,b	p.oslo;3;156			"
29	P.Oslo II	Eitrem S-Amundsen L	1936	57			Wilcken U, APF 10 (1932) p. 86 (l. 3/4, 4)Rathbone DW, Economic rationalism and rural society (1991), p. 72 (date), p. 226-227 and n. 24 (l. 12/13)	Eitrem S-Amundsen L, P.Oslo II, 57, 1936 -- Wilcken U, APF 10 (1932) p. 86 (l. 3/4, 4)Rathbone DW, Economic rationalism and rural society (1991), p. 72 (date), p. 226-227 and n. 24 (l. 12/13)	p.oslo;2;57			"
30	Greek papyri in the Oslo collection	Tidemandsen P	1995	4-9				Tidemandsen P, Greek papyri in the Oslo collection, 4-9, 1995	p.oslo;2;57			"
31	Greek papyri in the Oslo collection	Tidemandsen P	1995	16-19				Tidemandsen P, Greek papyri in the Oslo collection, 16-19, 1995				"
32	Greek papyri in the Oslo collection	Tidemandsen P	1995	20-21				Tidemandsen P, Greek papyri in the Oslo collection, 20-21, 1995				"
33	SO 37	Traversa A	1961	107-108		SB VIII 9826		Traversa A, SO 37, 107-108, 1961 -- SB VIII 9826	SB:8:9826			"
34	O.Oslo	Amundsen L	1933	2			Hunt AS JEA 20 (1934) p. 125 (l.12)Zucker F, Gnomon 12 (1936) p. 669 (l. 12, 15f.)Peremanns W-van't Dack E, Studia Hellenistica 8 (1952) p. 252 (l. 9/10)	Amundsen L, O.Oslo, 2, 1933 -- Hunt AS JEA 20 (1934) p. 125 (l.12)Zucker F, Gnomon 12 (1936) p. 669 (l. 12, 15f.)Peremanns W-van't Dack E, Studia Hellenistica 8 (1952) p. 252 (l. 9/10)		O.Oslo:2		"
35	P.Oslo II	Eitrem, S-Amundsen L	1931	64	Pl. IX		Schubart W, Deutsche Litteraturzeitung 52 (1931) p. 1165 (l. 10, 11)Preisendanz K, Philologische Wochenschrift 52 (1932) p. 233 (l. 10-12)Schmidt KFW, Göttingische gelehrte Anzeigen 194 (1932) p. 286 (address)Olsson B, Indogermanische Forschungen 52 (1933) p. 155 (l. 2, 10)	Eitrem, S-Amundsen L, P.Oslo II, 64, 1931, Pl. IX -- Schubart W, Deutsche Litteraturzeitung 52 (1931) p. 1165 (l. 10, 11)Preisendanz K, Philologische Wochenschrift 52 (1932) p. 233 (l. 10-12)Schmidt KFW, Göttingische gelehrte Anzeigen 194 (1932) p. 286 (address)Olsson B, Indogermanische Forschungen 52 (1933) p. 155 (l. 2, 10)	p.oslo;2;64			"
36	P.Oslo III	Eitrem S-Amundsen L	1936	162			Bagnall R, Currency and inflation in fourth century Egypt (BASP Suppl. 5) (1985) p. 11-12 (date)	Eitrem S-Amundsen L, P.Oslo III, 162, 1936 -- Bagnall R, Currency and inflation in fourth century Egypt (BASP Suppl. 5) (1985) p. 11-12 (date)	p.oslo;3;162			"
37	P.Oslo III	Eitrem S-Amundsen L	1936	160				Eitrem S-Amundsen L, P.Oslo III, 160, 1936	p.oslo;3;160			"
38	P.Oslo III	Eitrem S-Amundsen L	1936	151			Geraci G, Aegyptus 51 (1971) p. 175 + n. 4 (origin)	Eitrem S-Amundsen L, P.Oslo III, 151, 1936 -- Geraci G, Aegyptus 51 (1971) p. 175 + n. 4 (origin)	p.oslo;3;151			"
39	P.Oslo III	Eitrem S-Amundsen L	1936	161			Pruneti P in: Antinoe cent' anni dopo (1998), p. 147, n. 8 (date)	Eitrem S-Amundsen L, P.Oslo III, 161, 1936 -- Pruneti P in: Antinoe cent' anni dopo (1998), p. 147, n. 8 (date)	p.oslo;3;161			"
40	SO 37	Traversa A	1961	130-131				Traversa A, SO 37, 130-131, 1961				"
41	P.Oslo I	Eitrem S	1925	2			Totti M, Ausgewählte Texte der Isis- und Serapis-Religion. Hildesheim 1985, p. 24 (no. 10)	Eitrem S, P.Oslo I, 2, 1925 -- Totti M, Ausgewählte Texte der Isis- und Serapis-Religion. Hildesheim 1985, p. 24 (no. 10)				"
42	P.Oslo I	Eitrem S	1925	3			O'Neil EN, in: Greek Magical Papyri in translation (1986) p. 278 (l. 1)Merkelbach/Totti in Abrasax I, 1990, p.117-118 ( l. 14)	Eitrem S, P.Oslo I, 3, 1925 -- O'Neil EN, in: Greek Magical Papyri in translation (1986) p. 278 (l. 1)Merkelbach/Totti in Abrasax I, 1990, p.117-118 ( l. 14)				"
43	P.Oslo I	Eitrem S	1925	4			Schmidt KFW, Göttingische gelehrte Anzeigen 189 (1927) p. 463 (l. 21)	Eitrem S, P.Oslo I, 4, 1925 -- Schmidt KFW, Göttingische gelehrte Anzeigen 189 (1927) p. 463 (l. 21)				"
44	Det Norske Videnskapsselskaps forhandlinger	Eitrem S-Fridrichsen F	1921	3-31		SB III 6584		Eitrem S-Fridrichsen F, Det Norske Videnskapsselskaps forhandlinger, 3-31, 1921 -- SB III 6584				"
45	P.Oslo I	Eitrem S	1925	6	P.Oslo II pl. 1c			Eitrem S, P.Oslo I, 6, 1925, P.Oslo II pl. 1c				"
46	P.Oslo II	Eitrem S-Amundsen L	1931	23	Pl. VIIb		Eitrem S-Amundsen L, P.Oslo II, 1931, p. 152 (l. 8)Preisendanz K, Philologische Wochenschrift 52 (1932) p. 231 (l. 9)Youtie HC, CP 27 (1932) p. 89 (l.17,18,19)Wilcken U, APF10 (1932) p. 84 (l. 11)Olsson B, Indogermanische Forschungen 52 (1933) p. 155 (l. 11)Eitrem S- Amundsen L, P.Oslo III ,1936, p. 275 (l. 9,17)Tomsin A, Choix de papyrus grecs, Liège 1968, no.19 (l. 7,11)Sijpesteijn PJ, ZPE 49 (1982) p. 106 (l. 17)Kramer B, ZPE 97 (1993), p.133 (l. 7) 	Eitrem S-Amundsen L, P.Oslo II, 23, 1931, Pl. VIIb -- Eitrem S-Amundsen L, P.Oslo II, 1931, p. 152 (l. 8)Preisendanz K, Philologische Wochenschrift 52 (1932) p. 231 (l. 9)Youtie HC, CP 27 (1932) p. 89 (l.17,18,19)Wilcken U, APF10 (1932) p. 84 (l. 11)Olsson B, Indogermanische Forschungen 52 (1933) p. 155 (l. 11)Eitrem S- Amundsen L, P.Oslo III ,1936, p. 275 (l. 9,17)Tomsin A, Choix de papyrus grecs, Liège 1968, no.19 (l. 7,11)Sijpesteijn PJ, ZPE 49 (1982) p. 106 (l. 17)Kramer B, ZPE 97 (1993), p.133 (l. 7) 	p.oslo;2;23			"
47	P.Oslo II	Eitrem S-Amundsen L	1931	18	Pl. VIIa		Wilcken U, APF 10 (1932), p. 84 (l.7)Youtie, HC, CP 27 (1932) p. 89 (l.2/3, 4)	Eitrem S-Amundsen L, P.Oslo II, 18, 1931, Pl. VIIa -- Wilcken U, APF 10 (1932), p. 84 (l.7)Youtie, HC, CP 27 (1932) p. 89 (l.2/3, 4)				"
48	P.Oslo II	Eitrem S-Amundsen L	1931	22	Pl. IIIb		Amundsen L, Chronique d'Egypt 7 (1932) p. 330 (l.3, 5)Youtie HC, CP 27 (1932) p. 93 (l.5, 18)Turner E, JEA 40 (1954) p. 33 (l.5)Braunert H, JJP 9/10 (1955/56) p. 233 (l. 16)Tomsin A, Choix de papyrus grecs, 1968 (no. 5)  (l.3/4, 4, 16)Schwartz J, P.Strasb. 5 (1973) p. 21 (l. 10/11)Wrong measurements given in the original publication.	Eitrem S-Amundsen L, P.Oslo II, 22, 1931, Pl. IIIb -- Amundsen L, Chronique d'Egypt 7 (1932) p. 330 (l.3, 5)Youtie HC, CP 27 (1932) p. 93 (l.5, 18)Turner E, JEA 40 (1954) p. 33 (l.5)Braunert H, JJP 9/10 (1955/56) p. 233 (l. 16)Tomsin A, Choix de papyrus grecs, 1968 (no. 5)  (l.3/4, 4, 16)Schwartz J, P.Strasb. 5 (1973) p. 21 (l. 10/11)Wrong measurements given in the original publication.	p.oslo;2;22			"
49	JEA 40	Eitrem S-Amundsen L	1954	30-32		SB VI 9421		Eitrem S-Amundsen L, JEA 40, 30-32, 1954 -- SB VI 9421	SB:6:9421			"
50	P.Oslo III	Eitrem S-Amundsen L	1936	97			Hombert/Préaux, P.L.Bat V (1952), p. 121 (l. 13: reading doubted)	Eitrem S-Amundsen L, P.Oslo III, 97, 1936 -- Hombert/Préaux, P.L.Bat V (1952), p. 121 (l. 13: reading doubted)	p.oslo;3;97			"
51	P.Oslo III	Eitrem S-Amundsen L	1936	98	Pl. IV		Eitrem/Amundsen, P.Oslo III, p. 278 (l. 14, 24)Hombert/Préaux, P.L.Bat V (1952), p. 85,n.3 (a signature should be added)Hagedorn-Sijpesteijn, ZPE 65 (1986), p. 102 (l. 17)Bagnall/Friar, Demography of Egypt (1994), p. 317 (l.13, 24)	Eitrem S-Amundsen L, P.Oslo III, 98, 1936, Pl. IV -- Eitrem/Amundsen, P.Oslo III, p. 278 (l. 14, 24)Hombert/Préaux, P.L.Bat V (1952), p. 85,n.3 (a signature should be added)Hagedorn-Sijpesteijn, ZPE 65 (1986), p. 102 (l. 17)Bagnall/Friar, Demography of Egypt (1994), p. 317 (l.13, 24)	p.oslo;3;98			"
52	SO 71	Tidemandsen-P	1996	172-180	p.174-175			Tidemandsen-P, SO 71, 172-180, 1996, p.174-175				"
53	P.Oslo III	Eitrem S-Amundsen-L	1936	99				Eitrem S-Amundsen-L, P.Oslo III, 99, 1936				"
54	P.Oslo III	Eitrem S-Amundsen L	1936	133			Pringsheim F, The Greek law of sale. Weimar 1950, p. 523-24 (l.2-3) [The correction is suggested without having seen the papyrus, and the reading of the papyrus cannot be the one suggested by Pringsheim]	Eitrem S-Amundsen L, P.Oslo III, 133, 1936 -- Pringsheim F, The Greek law of sale. Weimar 1950, p. 523-24 (l.2-3) [The correction is suggested without having seen the papyrus, and the reading of the papyrus cannot be the one suggested by Pringsheim]	p.oslo;3;133			"
55	SO 69	Eliassen M. De Kat	1973	50-52		SB XIV 11432	Hagedorn D, ZPE 12 (1973) p. 280 (date)	Eliassen M. De Kat, SO 69, 50-52, 1973 -- SB XIV 11432 -- Hagedorn D, ZPE 12 (1973) p. 280 (date)	SB:14:11432			"
56	SO 49	Eliassen M de Kat	1973	45-50		SB XIV 11431		Eliassen M de Kat, SO 49, 45-50, 1973 -- SB XIV 11431	SB:14:11431			"
